iter	RMSE
740	268.4735039
741	268.4220721
742	268.3159314
743	268.2441719
744	268.2011656
745	268.105543
746	268.0627889
747	268.0010084
748	267.897368
749	267.8321095
750	267.7757285
751	267.6706098
752	267.5557322
753	267.5110394
754	267.4774405
755	267.4346302
756	267.400187
757	267.3505486
758	267.3240247
759	267.2498374
760	267.1926904
761	267.131172
762	267.0999311
763	267.0346764
764	266.9778672
765	266.9397251
766	266.8772854
767	266.7732303
768	266.7246425
769	266.69282
770	266.4969083
771	266.4576691
772	266.4013181
773	266.343873
774	266.2381871
775	266.1986949
776	266.0872179
777	265.9858716
778	265.8727275
779	265.4116367
780	265.3525873
781	265.2721551
782	265.2072048
783	265.1322324
784	265.0643125
785	265.0237529
786	264.9801469
787	264.9384854
788	264.8901438
789	264.8575585
790	264.8045809
791	264.7499808
792	264.6682307
793	264.6291931
794	264.5524888
795	264.5258345
796	264.4658187
797	264.2929423
798	264.2577597
799	264.2129723
800	263.9493619
801	263.8854353
802	263.8218563
803	263.7853291
804	263.7103957
805	263.6771689
806	263.6266498
807	263.5718698
808	263.5340049
809	263.4991516
810	263.4524586
811	263.3913311
812	263.331896
813	263.255666
814	263.2101636
815	263.1899762
816	263.104358
817	263.0625828
818	263.0260737
819	262.9776171
820	262.9118453
821	262.8886457
822	262.833986
823	262.7643795
824	262.7130936
825	262.6562137
826	262.5772538
827	262.5413445
828	262.4943699
829	262.4713496
830	262.4343615
831	262.4026598
832	262.2180177
833	262.1473872
834	262.0840951
835	262.0295427
836	261.9286984
837	261.8802904
838	261.8614197
839	261.8262758
840	261.7891635
841	261.7254172
842	261.6453553
843	261.6062638
844	261.5633955
845	261.5111399
846	261.4467187
847	261.4227528
848	261.3739353
849	261.2621177
850	261.197673
851	261.116419
852	261.0863726
853	261.011434
854	260.9036095
855	260.8454871
856	260.7930695
857	260.7449776
858	260.6670927
859	260.6357698
860	260.5895141
861	260.5553114
862	260.4971607
863	260.4492037
864	260.4228087
865	260.3235678
866	260.240069
867	260.2075364
868	260.1799154
869	260.1128582
870	260.0780072
871	260.0557226
872	259.9935443
873	259.9276516
874	259.8738949
875	259.8309856
876	259.7174062
877	259.6684856
878	259.5387637
879	259.5085026
880	259.4469463
881	259.4150194
882	259.3611878
883	259.3064592
884	259.2748186
885	259.2550938
886	259.2211622
887	259.1641376
888	259.104365
889	259.0609174
890	259.035433
891	259.0062606
892	258.9347679
893	258.8713076
894	258.8182261
895	258.7710148
896	258.7146554
897	258.6477407
898	258.6213462
899	258.5740035
900	258.4777044
901	258.4530427
902	258.4322183
903	258.3349793
904	258.2877387
905	258.2538262
906	258.2052068
907	258.1532624
908	258.0866344
909	257.9942521
910	257.9282826
911	257.8705199
912	257.8152835
913	257.7864932
914	257.7537628
915	257.7201087
916	257.6827462
917	257.6263712
918	257.5356053
919	257.4941259
920	257.4098396
921	257.3531168
922	257.3097264
923	257.2859949
924	257.2530509
925	257.218344
926	257.1940951
927	257.1344675
928	257.1050525
929	257.0617459
930	257.029188
931	256.9878505
932	256.9320908
933	256.9022696
934	256.8734313
935	256.8318552
936	256.7875072
937	256.7498723
938	256.7111956
939	256.6711241
940	256.5649251
941	256.512837
942	256.4822756
943	256.4543627
944	256.347946
945	256.3145123
946	256.2847468
947	256.2221319
948	256.1992789
949	256.1515076
950	256.0356064
951	256.0036337
952	255.9224302
953	255.7713672
954	255.7337363
955	255.7115048
956	255.6590117
957	255.6242405
958	255.5899987
959	255.5378571
960	255.4849613
961	255.4512664
962	255.399195
963	255.3380236
964	255.3027987
965	255.2547708
966	255.2343652
967	255.2117411
968	255.1476688
969	255.1071515
970	255.0847683
971	255.0233905
972	254.918163
973	254.7698528
974	254.7319704
975	254.70885
976	254.6212515
977	254.5764276
978	254.5283907
979	254.4970808
980	254.4676426
981	254.43572
982	254.4063993
983	254.3660938
984	254.3224413
985	254.3038205
986	254.2694774
987	254.2387807
988	254.2135005
989	254.1364377
990	254.0228947
991	253.9711839
992	253.9492193
993	253.8678247
994	253.7970493
995	253.6344017
996	253.5848781
997	253.5693771
998	253.5406169
999	253.4909518
